dependency,lecture,frequency,starting semester
algoritmos,redes,1,2021.5
analisis estadistico de datos,analisis avanzado de datos,0,2021.5
optimizacion,machine learning,1,2021.5
algebra lineal,machine learning,1,2021.5
probabilidad y estadistica 1,inteligencia artificial,0,2021.5
variable compleja,procesamiento de señales,1,2021.5
redes,computacion en la nube,0,2021.5
redes,big data,0,2022
analisis avanzado de datos,big data,0,2022
procesamiento de señales,vision por computador,0,2022
procesamiento de señales,nlp,0,2022
